,Year 5,Year 4,Year 3,Year 2,Year 1
10-year risk free,0.05264167,0.063525,0.06438334,0.0658,0.0708
YoY % in stock price,-0.87476539,0.87062672,0.14400154,2.57143235,-0.5205502
market cap based on Jun's data,100.3409,793.9735,412.4477,345.3594,96.5825
90-days stock vol,1.09262,0.5846,0.72493,0.7226,0.63584
Trading volume,768.2506647,9928.944556,1515.460318,769.6895567,114.6185953
Total asset,299.518,477.988,359.45,246.817,220.556
Diluted EPS,-5.605,3.3509,1.1659,0.0691,-2.0641
Liability / assets,0.71300556,0.49626141,0.61135346,0.58028823,0.55370518
equity / assets,0.28699444,0.50373859,0.38864654,0.41971177,0.44629482
Cash / asset,0.23929781,0.33955246,0.35443038,0.19543224,0.09413029
Current ratio,1.14222482,2.37841259,2.1904507,0.95546943,0.68122775
Inventory / sales,0.07110138,0.10394896,0.10436427,0.11184894,0.11423311
Net debt/EBITDA,-1.14701552,0.03134621,0.5640388,0.809513,-1.90310141
A/P / Sales,0.0893751,0.09923025,0.0937306,0.15220437,0.08093445
A/R / Sales,0.03971198,0.10695196,0.12589557,0.12498633,0.06784403
ROE,-1.80744532,0.39918432,0.23062441,0.01687389,-0.53508478
ROA,-0.51872675,0.20108455,0.08963138,0.00708217,-0.23880556
Sales/total assets,0.61297485,1.03525402,0.95911532,1.18549371,1.25105189
Net income margin,-0.84624476,0.19423691,0.09345214,0.00597403,-0.19088382
EBIT/Sale,-0.7424849,0.20771807,0.10399009,-0.00400889,-0.17402791
EBITDA/Sale,-0.49941448,0.28553327,0.18779187,0.09031784,-0.08834221
EBITDA/ Assets,-0.30612851,0.29559947,0.18011406,0.10707123,-0.11052068
Total debt/ EBITDA,-1.9287062,1.18003723,2.53184949,2.63476747,-2.7547998
WC/ Asset,0.04473521,0.33717164,0.32795104,-0.0241596,-0.16523241
Price to book ratio,1.16729758,3.29749233,2.95240267,3.33384238,0.98120041
real GDP growth,0.04481405,0.04447221,0.03772504,0.02684285,0.04028831
Inflation,0.01552279,0.0233769,0.02931204,0.0280542,0.02607442
Unemployment,0.04508333,0.0495,0.05416667,0.05608333,0.06083333
10-year risk free,0.05264167,0.063525,0.06438334,0.0658,0.0708
YoY % in stock price,-0.3125,-0.63636364,-0.08333333,0.24137931,-0.50847458
market cap based on Jun's data,12.5977,18.018,49.0545,53.181,42.601
90-days stock vol,1.52143,0.99187,0.61865,0.66249,0.71154
Trading volume,6.06375,10.6131,22.194975,34.9011,44.901425
Total asset,148.208,172.691,192.208,142.049,105.556
Diluted EPS,-2.66,-0.18,-0.15,1.36,1.12
Liability / assets,0.79979488,0.73496592,0.7577104,0.66772733,0.63085945
equity / assets,0.20020512,0.26503408,0.2422896,0.33227267,0.36914055
Cash / asset,0.00628846,0.01444198,0.01453634,0.01696598,0.0010421
Current ratio,1.19346043,1.38949466,1.83209142,1.79476133,1.57325721
Inventory / sales,0.13785887,0.14975871,0.18414976,0.13731731,0.14372258
Net debt/EBITDA,-53.24296296,8.82693231,10.18611422,3.38493826,3.10056285
A/P / Sales,0.04433498,0.04937329,0.05156357,0.04395933,0.05382024
A/R / Sales,0.01038875,0.01171778,0.01868449,0.01810676,0.01418048
ROE,-0.54337422,-0.02405558,-0.01954048,0.16994004,0.16920313
ROA,-0.1087863,-0.00637555,-0.00473445,0.05646643,0.06245974
Sales/total assets,2.15042373,1.97869605,1.77985308,2.12126801,2.45518019
Net income margin,-0.05058831,-0.0032221,-0.00266003,0.02661919,0.02543998
EBIT/Sale,-0.03183145,-0.00202808,0.00413327,0.03589824,0.02648953
EBITDA/Sale,-0.00423583,0.02438375,0.02610333,0.05455589,0.04113305
EBITDA/ Assets,-0.00910882,0.04824803,0.04646008,0.11572767,0.10098905
Total debt/ EBITDA,-53.93333333,9.1262602,10.49899216,3.53154085,3.1108818
WC/ Asset,0.05744629,0.10528632,0.18184467,0.16233835,0.14934253
Price to book ratio,0.42456525,0.39367257,1.0533498,1.12673997,1.09331451
real GDP growth,0.04481405,0.04447221,0.03772504,0.02684285,0.04028831
Inflation,0.01552279,0.0233769,0.02931204,0.0280542,0.02607442
Unemployment,0.04508333,0.0495,0.05416667,0.05608333,0.06083333
10-year risk free,0.05264167,0.063525,0.06438334,0.0658,0.0708
YoY % in stock price,-0.54709419,0.27948718,-0.025,-0.36708861,0.39207048
market cap based on Jun's data,730.6156,834.4528,563.5013,536.225,733.0015
90-days stock vol,0.82369,0.31032,0.29172,0.50024,0.25034
Trading volume,1475.229535,1749.049578,840.220875,1356.97,926.4093
Total asset,5393.1279,5002.1519,1993.1071,1433.73,1255.989
Diluted EPS,-1.4,-1.19,2.06,-1.26,1.75
Liability / assets,0.75302553,0.78246144,0.73164252,0.69901725,0.63868235
equity / assets,0.24697449,0.21753858,0.26835738,0.30098275,0.36131765
Cash / asset,0.00819914,0.01366912,0.02060702,0.02880877,0.05043595
Current ratio,1.71099627,1.07217914,1.16091276,1.76833111,1.43454985
Inventory / sales,0.0255519,0.03267509,0.01829169,0.02173998,0.03576735
Net debt/EBITDA,5.32489211,10.15974542,5.01854089,4.33635164,4.65873516
A/P / Sales,0.15582134,0.40190768,0.23774672,0.14591124,0.22625551
A/R / Sales,0.21839347,0.37774589,0.22784147,0.19533834,0.22937866
ROE,-0.05103588,-0.03079048,0.08662747,-0.062573,0.07180963
ROA,-0.01260456,-0.00669812,0.02324712,-0.01883339,0.02594609
Sales/total assets,0.55110616,0.28040494,0.7198283,0.82225238,0.56696516
Net income margin,-0.02287138,-0.0238873,0.03229537,-0.02290464,0.04576311
EBIT/Sale,0.15822798,0.18108435,0.11173456,0.10877625,0.11010361
EBITDA/Sale,0.21095651,0.2211249,0.14078673,0.14267345,0.14713061
EBITDA/ Assets,0.11625943,0.06200451,0.10134227,0.11731358,0.08341793
Total debt/ EBITDA,5.3954166,10.380199,5.22188171,4.58192228,5.2633528
WC/ Asset,0.0632657,0.00866769,0.02887401,0.09507718,0.06081502
Price to book ratio,0.54852462,0.76684682,1.0535393,1.24261925,1.61521316
real GDP growth,0.04481405,0.04447221,0.03772504,0.02684285,0.04028831
Inflation,0.01552279,0.0233769,0.02931204,0.0280542,0.02607442
Unemployment,0.04508333,0.0495,0.05416667,0.05608333,0.06083333
10-year risk free,0.05264167,0.063525,0.06438334,0.0658,0.0708
YoY % in stock price,0.55813953,-0.60185185,-0.15625,-0.44827586,-0.4021259
market cap based on Jun's data,64.0269,41.0919,103.2075,122.32,174.87
90-days stock vol,0.92233,0.76357,0.52534,0.41734,0.78498
Trading volume,21.867125,15.089775,46.462275,77.3776,87.3857
Total asset,310.12,263.255,210.547,177.877,191.644
Diluted EPS,-0.25,-1.37,0.7,0.04,0.78
Liability / assets,0.84063911,0.79747393,0.63887398,0.61888271,0.62852998
equity / assets,0.15936089,0.20252607,0.36112602,0.38111729,0.37147002
Cash / asset,0.02040823,0.01231885,0.02004778,0.08839816,0.23664712
Current ratio,0.21881924,0.33625542,0.68328614,0.58674503,0.95486276
Inventory / sales,0,0,0,0,0
Net debt/EBITDA,2.02624194,5.63063474,0.70510918,0.51064749,0.23060349
A/P / Sales,0.1198543,0.11238838,0.04690584,0.04220292,0.10496
A/R / Sales,0.06099865,0.06680405,0.05694719,0.06169018,0.06299238
ROE,-0.07881265,-0.39168355,0.14058184,0.00837857,0.13952802
ROA,-0.01255965,-0.07932613,0.05076776,0.00319322,0.05183048
Sales/total assets,1.48814007,1.58712655,2.32951313,2.06875538,1.7836979
Net income margin,-0.00843983,-0.04998097,0.02179329,0.00154355,0.02905788
EBIT/Sale,0.01614728,-0.05630668,0.02755713,0.01302231,0.07160765
EBITDA/Sale,0.12971991,0.03668814,0.09756928,0.08805274,0.14934983
EBITDA/ Assets,0.1930414,0.05822871,0.22728892,0.18215958,0.26639498
Total debt/ EBITDA,2.13196138,5.84219453,0.79331313,0.99592618,1.11893522
WC/ Asset,-0.45137044,-0.31982678,-0.13652059,-0.17194466,-0.01737597
Price to book ratio,1.29554036,0.77072361,1.35738617,1.8043427,2.45638432
real GDP growth,0.04447221,0.03772504,0.02684285,0.04028831,0.02752852
Inflation,0.0233769,0.02931204,0.0280542,0.02607442,0.02951657
Unemployment,0.0495,0.05416667,0.05608333,0.06083333,0.069
10-year risk free,0.063525,0.06438334,0.0658,0.0708,0.05873333
YoY % in stock price,-0.10416667,0.45454545,0.375,-0.2,-0.48275862
market cap based on Jun's data,113.7243,124.254,85.0905,61.596,76.6987
90-days stock vol,1.20673,0.475,0.95105,0.70587,0.5668
Trading volume,159.659,128.2008,64.7414625,43.1178,62.8275
Total asset,229.097,83.25,74.264,81.35,78.293
Diluted EPS,0.16,0.27,0.17,-0.07,0.02
Liability / assets,0.80489923,0.56314715,0.59730152,0.67638599,0.62176695
equity / assets,0.19510077,0.43685285,0.40269848,0.32361401,0.37823305
Cash / asset,0.03086902,0.03073874,0.01494668,0.01606638,0.03065408
Current ratio,1.08846283,1.59417106,1.83014556,1.84839051,1.46316136
Inventory / sales,0.1290909,0.12487524,0.14946127,0.17276555,0.16359144
Net debt/EBITDA,5.2358738,0.98966621,1.509692,2.73431409,3.13875232
A/P / Sales,0.07714068,0.03891518,0.05164738,0.05864412,0.06303447
A/R / Sales,0.04131153,0.03255095,0.02596398,0.01836879,0.02134093
ROE,0.07638097,0.15323911,0.11636461,-0.0577376,0.0118529
ROA,0.01490198,0.06694294,0.04685985,-0.0186847,0.00448316
Sales/total assets,1.07086081,2.23848649,2.15953894,1.78946527,1.52497669
Net income margin,0.01391589,0.02990545,0.02169901,-0.0104415,0.00293982
EBIT/Sale,0.04479255,0.05814203,0.04217589,0.02209888,0.01328364
EBITDA/Sale,0.10257978,0.11735729,0.10486606,0.09338957,0.0766615
EBITDA/ Assets,0.10984867,0.2627027,0.22646235,0.16711739,0.116907
Total debt/ EBITDA,5.51688786,1.10667581,1.57569271,2.83045237,3.40096143
WC/ Asset,0.01836777,0.1461982,0.18585048,0.17754149,0.10767246
Price to book ratio,2.54433855,3.41657501,2.84526516,2.33974018,2.59003478
real GDP growth,0.04481405,0.04447221,0.03772504,0.02684285,0.04028831
Inflation,0.01552279,0.0233769,0.02931204,0.0280542,0.02607442
Unemployment,0.04508333,0.0495,0.05416667,0.05608333,0.06083333
10-year risk free,0.05264167,0.063525,0.06438334,0.0658,0.0708
YoY % in stock price,-0.35227273,0.13548387,1.38461538,-0.30851064,-0.27319737
market cap based on Jun's data,284.829,345.4,281.3638,116.0819,163.654
90-days stock vol,0.82613,0.60101,0.62566,0.42633,1.16066
Trading volume,1293.80025,2083.3912,1009.141063,391.8711875,952.1277625
Total asset,1315.1429,919.396,736.321,572.563,510.199
Diluted EPS,-0.42,1.51,0.84,0.02,1.22
Liability / assets,0.77912218,0.71467681,0.74189246,0.70579133,0.67432512
equity / assets,0.2208779,0.28532319,0.25810754,0.29420867,0.32567488
Cash / asset,0.03185509,0.02423221,0.02998421,0.0239275,0.02170526
Current ratio,1.07831686,1.20343997,1.20843727,1.26923663,1.33301363
Inventory / sales,0.08807016,0.10945632,0.08975342,0.10123491,0.13805016
Net debt/EBITDA,-0.46072616,0.17586942,-0.26954246,-0.1632142,-0.18600033
A/P / Sales,0.17527094,0.13507876,0.13829678,0.12916833,0.14664565
A/R / Sales,0.09599167,0.05342108,0.07849092,0.06231886,0.06157016
ROE,-0.02865887,0.09605261,0.07424362,0.00143067,0.09835158
ROA,-0.00633011,0.02740604,0.01916284,0.00042091,0.03203064
Sales/total assets,4.19728594,4.7631358,5.01976706,5.13672749,4.35284252
Net income margin,-0.00150814,0.00575378,0.00381748,0.00008194,0.00735856
EBIT/Sale,0.005717,0.01625979,0.01048764,0.00873517,0.01464372
EBITDA/Sale,0.01307239,0.02174069,0.01612511,0.01398456,0.01882236
EBITDA/ Assets,0.05486856,0.10355385,0.08094432,0.07183489,0.08193078
Total debt/ EBITDA,0.11984479,0.40987532,0.10088757,0.169876,0.07892156
WC/ Asset,0.05977297,0.13733364,0.1535363,0.18810681,0.22321878
Price to book ratio,0.98052574,1.31668732,1.48047251,0.68910557,0.98492408
real GDP growth,0.04481405,0.04447221,0.03772504,0.02684285,0.04028831
Inflation,0.01552279,0.0233769,0.02931204,0.0280542,0.02607442
Unemployment,0.04508333,0.0495,0.05416667,0.05608333,0.06083333
10-year risk free,0.05264167,0.063525,0.06438334,0.0658,0.0708
YoY % in stock price,-0.36,-0.96226415,-0.77155172,1.28948573,-0.472225
market cap based on Jun's data,1.16,1.8125,30.0179,113.9917,49.514
90-days stock vol,3.17007,2.08267,0.79909,0.69428,0.64331
Trading volume,0.951624,5.734275,81.99530625,403.4103,104.7483487
Total asset,4.979,12.5438,40.238,32.005,28.855
Diluted EPS,-0.31,-2.32,-2.52,-0.31,0.3467
Liability / assets,5.02189195,2.23329454,0.78868234,0.47692548,0.34461965
equity / assets,-4.02189195,-1.23327859,0.21131766,0.52307452,0.65538035
Cash / asset,0.06467162,0.03619318,0.13556837,0.1126699,0.2530584
Current ratio,0.19156935,0.43139145,1.52124344,2.12209386,2.72377305
Inventory / sales,0.34034489,0.20575761,0.29562257,0.13944822,0.12272491
Net debt/EBITDA,-1.47606838,-0.22537879,-0.34165392,14.57723577,-1.04977619
A/P / Sales,1.64544249,0.5969991,0.25934147,0.14227066,0.10900554
A/R / Sales,0.0703051,0.15592469,0.19569099,0.13872733,0.15831574
ROE,0.22746567,1.95404008,-2.45007644,-0.14688489,0.1446777
ROA,-0.91484234,-2.4098758,-0.51774442,-0.07683175,0.09481892
Sales/total assets,2.11970275,2.48122578,1.48916447,2.55722543,2.26588113
Net income margin,-0.43158992,-0.97124406,-0.34767444,-0.03004496,0.04184638
EBIT/Sale,-0.37066515,-0.85117594,-0.22933529,-0.01395337,0.07535713
EBITDA/Sale,-0.33257533,-0.81429122,-0.20725622,-0.00300572,0.08542106
EBITDA/ Assets,-0.70496084,-2.02044038,-0.3086386,-0.0076863,0.19355398
Total debt/ EBITDA,-1.56780627,-0.2432923,-0.78090023,-0.08130081,0.25765443
WC/ Asset,-4.05985138,-1.26987037,0.31587057,0.48558038,0.59279154
Price to book ratio,-0.05792759,-0.11716225,3.53027167,6.80913327,2.6182645
real GDP growth,0.04481405,0.04447221,0.03772504,0.02684285,0.04028831
Inflation,0.01552279,0.0233769,0.02931204,0.0280542,0.02607442
Unemployment,0.04508333,0.0495,0.05416667,0.05608333,0.06083333
10-year risk free,0.05264167,0.063525,0.06438334,0.0658,0.0708
YoY % in stock price,-0.4787234,0.00534759,-0.432186,1.48240856,-0.14224126
market cap based on Jun's data,291.2866,501.161,497.4784,847.7349,334.6185
90-days stock vol,1.06236,0.9229,1.04094,0.85246,0.50219
Trading volume,818.132175,1763.9241,1505.775425,4784.807963,502.4717903
Total asset,360.8,475.4,384.4,393.2,333.2
Diluted EPS,-11.2,-0.12,-3.04,3.36,1.52
Liability / assets,0.96092018,0.7437947,0.71331946,0.63275687,0.65006002
equity / assets,0.03907982,0.2562053,0.28668054,0.36724313,0.34993998
Cash / asset,0.14523282,0.17522087,0.0991155,0.14521872,0.18067227
Current ratio,1.56702899,2.00685786,1.41015169,1.51941474,1.63931034
Inventory / sales,0,0,0,0,0
Net debt/EBITDA,7.64864865,1.81940701,-0.74596774,-0.39183673,-0.82831325
A/P / Sales,0.18512357,0.14076655,0.18339202,0.12536755,0.13157895
A/R / Sales,0.34315589,0.46062718,0.48004695,0.49345095,0.45753589
ROE,-9.12765957,0.00821018,-0.29764065,0.18421053,0.13207547
ROA,-0.35670732,0.00210349,-0.08532778,0.06765005,0.04621849
Sales/total assets,1.16629712,0.90555322,0.88657648,0.95142421,1.00360144
Net income margin,-0.30584601,0.00232288,-0.09624413,0.07110398,0.04605263
EBIT/Sale,-0.05846008,0.06457607,-0.17253521,0.10986367,0.07416268
EBITDA/Sale,0.02637833,0.08617886,-0.14553991,0.13098102,0.0992823
EBITDA/ Assets,0.03076497,0.07803955,-0.12903226,0.12461851,0.09963986
Total debt/ EBITDA,12.36936937,4.06469003,-1.5141129,0.77346939,0.98493976
WC/ Asset,0.26025499,0.33971393,0.18288241,0.23474059,0.27821128
Price to book ratio,20.65862411,4.11462233,4.51432305,5.8707403,2.86979846
real GDP growth,0.04481405,0.04447221,0.03772504,0.02684285,0.04028831
Inflation,0.01552279,0.0233769,0.02931204,0.0280542,0.02607442
Unemployment,0.04508333,0.0495,0.05416667,0.05608333,0.06083333
10-year risk free,0.05264167,0.063525,0.06438334,0.0658,0.0708
YoY % in stock price,-0.29066667,0.48809524,-0.12195122,0.07894737,0.20361991
market cap based on Jun's data,433.2808,601.3125,405.027,510.3936,496.8547
90-days stock vol,0.24618,0.255,0.20613,0.26527,0.10859
Trading volume,157.588375,189.965625,127.30095,131.1051875,143.51365
Total asset,881.487,738.777,692.065,716.772,678.384
Diluted EPS,-3.83,2.61,-0.8,1.04,-0.52
Liability / assets,0.66922258,0.53269796,0.54175836,0.49541695,0.44674698
equity / assets,0.33077742,0.46730204,0.45824164,0.50458305,0.55325302
Cash / asset,0.05160825,0.14475139,0.08943235,0.17204355,0.1921257
Current ratio,0.84349879,1.37656388,1.38141853,1.76389548,1.96543313
Inventory / sales,0.06513305,0.07748423,0.09445356,0.0643127,0.05459317
Net debt/EBITDA,-1.4879496,-1.35599364,3.43148333,-0.35915623,1.59539768
A/P / Sales,0.09315931,0.06452584,0.06571821,0.05674105,0.03079351
A/R / Sales,0.24145552,0.13614484,0.15615919,0.16536982,0.12399535
ROE,-0.16908799,0.09706516,-0.03356321,0.04114236,-0.02080103
ROA,-0.05593049,0.04535875,-0.01538006,0.02075974,-0.01150823
Sales/total assets,1.37774919,1.79017484,1.68313236,1.39907669,1.14869307
Net income margin,-0.04059555,0.02533761,-0.00913776,0.01483817,-0.01001854
EBIT/Sale,-0.06671563,0.03575846,-0.02225204,0.0349425,-0.05402211
EBITDA/Sale,-0.04718198,0.04610295,-0.00774958,0.05412741,-0.02871974
EBITDA/ Assets,-0.06500493,0.08253235,-0.01304357,0.0757284,-0.03299016
Total debt/ EBITDA,-2.28186245,0.39788103,-3.42494738,1.91269344,-4.22832887
WC/ Asset,-0.09236211,0.15131224,0.1573595,0.21992907,0.20128275
Price to book ratio,1.4859961,1.74176351,1.27715186,1.41120964,1.32382326
real GDP growth,0.04481405,0.04447221,0.03772504,0.02684285,0.04028831
Inflation,0.01552279,0.0233769,0.02931204,0.0280542,0.02607442
Unemployment,0.04508333,0.0495,0.05416667,0.05608333,0.06083333
10-year risk free,0.05264167,0.063525,0.06438334,0.0658,0.0708
YoY % in stock price,0.34572491,0.01893939,0.76,-0.23857868,0.02604167
market cap based on Jun's data,424.8296,279.3229,206.415,66.6844,85.7319
90-days stock vol,0.51357,0.34841,0.37105,0.6071,0.49632
Trading volume,408.5011625,414.6668625,225.43785,66.6421875,123.1853313
Total asset,388.768,321.494,219.673,202.085,61.922
Diluted EPS,-1.1,0.95,0.16,-0.32,0.34
Liability / assets,0.58621337,0.58389581,0.65333018,0.64297202,0.57465844
equity / assets,0.41378663,0.41610419,0.34666982,0.35702798,0.42534156
Cash / asset,0.23124588,0.01895525,0.02931175,0.02081797,0.03299312
Current ratio,0.97536651,3.33675025,2.27314228,2.76486129,2.37293299
Inventory / sales,0.0889263,0.15214519,0.13766793,0.21943839,0.18404279
Net debt/EBITDA,20.15519253,3.29637991,4.08056678,8.0625448,3.69520743
A/P / Sales,0.04042737,0.06502744,0.07702911,0.07661377,0.08552917
A/R / Sales,0.08783788,0.16886661,0.15218009,0.16039041,0.15305358
ROE,-0.1215414,0.11490189,0.02816661,-0.05883576,0.09055357
ROA,-0.05029221,0.04781116,0.00976451,-0.02100601,0.0385162
Sales/total assets,1.69919335,1.11815151,1.39369426,1.10880075,1.22882013
Net income margin,-0.02959769,0.0427591,0.00700621,-0.0189448,0.03134405
EBIT/Sale,-0.02648382,0.07272469,0.03756569,0.01406691,0.05356744
EBITDA/Sale,0.00259464,0.10596725,0.07192062,0.04980542,0.06937746
EBITDA/ Assets,0.0044088,0.11848744,0.10023535,0.05522429,0.08525241
Total debt/ EBITDA,72.60618436,3.45635681,4.37299605,8.43951613,4.08221254
WC/ Asset,-0.01431445,0.34318525,0.26533529,0.30410966,0.30570718
Price to book ratio,2.64087476,2.08800523,2.71049452,0.92424671,3.25506493
real GDP growth,0.04753238,0.04481405,0.04447221,0.03772504,0.02684285
Inflation,0.02188027,0.01552279,0.0233769,0.02931204,0.0280542
Unemployment,0.04216667,0.04508333,0.0495,0.05416667,0.05608333
10-year risk free,0.05636667,0.05264167,0.063525,0.06438334,0.0658
YoY % in stock price,-0.29220779,1.72566372,1.01785714,-0.46153846,-0.0877193
market cap based on Jun's data,315.0917,401.863,141.4336,69.02,127.166
90-days stock vol,0.46001,0.55267,0.71767,0.48163,0.66128
Trading volume,1905.595225,2263.45735,331.443125,149.2029,245.6779
Total asset,960.539,847.6,624.238,519.875,456.894
Diluted EPS,2.48,1.8,1.14,-0.22,1.26
Liability / assets,0.66142343,0.79137565,0.76166943,0.7391873,0.70126331
equity / assets,0.33857657,0.20862435,0.23833057,0.2608127,0.29873669
Cash / asset,0.05475259,0.03705757,0.03314441,0.02022409,0.02116902
Current ratio,1.52672456,1.16389513,1.20253898,1.2240801,1.22936009
Inventory / sales,0.11019731,0.12462449,0.16040583,0.12699087,0.12093303
Net debt/EBITDA,0.80701468,2.22632476,1.61606292,4.15462778,4.37342031
A/P / Sales,0.10510299,0.13112373,0.15053146,0.12558518,0.06676041
A/R / Sales,0.06469391,0.09297289,0.07285497,0.10273202,0.10514765
ROE,0.09057365,0.10593791,0.0786893,-0.0166384,0.08773472
ROA,0.03066612,0.02210123,0.01875406,-0.0043395,0.02620958
Sales/total assets,4.05637043,3.65980993,3.52484789,3.46340736,3.38202537
Net income margin,0.00755999,0.0060389,0.00532053,-0.00125296,0.00774967
EBIT/Sale,0.02024869,0.01680306,0.01566482,0.00459973,0.01830734
EBITDA/Sale,0.02827527,0.02383517,0.02432665,0.01557756,0.02688472
EBITDA/ Assets,0.11469498,0.08723218,0.08574774,0.05395143,0.09092481
Total debt/ EBITDA,1.28439035,2.65114014,2.00259682,4.52948517,4.60623932
WC/ Asset,0.26858462,0.11833766,0.14568162,0.15149603,0.14869094
Price to book ratio,0.968869,2.27259515,0.95065434,0.50903459,0.93168048
real GDP growth,0.04447221,0.03772504,0.02684285,0.04028831,0.02752852
Inflation,0.0233769,0.02931204,0.0280542,0.02607442,0.02951657
Unemployment,0.0495,0.05416667,0.05608333,0.06083333,0.069
10-year risk free,0.063525,0.06438334,0.0658,0.0708,0.05873333
YoY % in stock price,-0.68539326,0.38444444,0.18007158,0.25990791,0.53379063
market cap based on Jun's data,430.6855,1363.2409,898.2,523.809,404.1735
90-days stock vol,0.63814,0.26802,0.54133,0.28341,0.24366
Trading volume,914.3204,1895.215139,1314.195469,773.4894932,491.9013543
Total asset,2627.3679,1434.113,950.669,600.389,511.698
Diluted EPS,-0.74,1.32,1.35,1.0467,0.8867
Liability / assets,0.66693972,0.57602992,0.45868857,0.63099257,0.61800515
equity / assets,0.33306032,0.42397008,0.54131143,0.36900743,0.38199485
Cash / asset,0.01201202,0.01839465,0.01922856,0.01730045,0.00745948
Current ratio,2.13877993,2.80810632,3.01334973,3.35523243,2.2543858
Inventory / sales,0.04537093,0.02324738,0.02539358,0.01973918,0.01603382
Net debt/EBITDA,6.94187319,3.69895085,2.95877079,3.7782896,4.43010845
A/P / Sales,0.0576245,0.0432315,0.0503091,0.0398875,0.06423307
A/R / Sales,0.26757392,0.18651092,0.21105367,0.2079039,0.18764281
ROE,-0.02770629,0.07827197,0.07222779,0.1065593,0.0904147
ROA,-0.00922787,0.03318497,0.03909773,0.03932117,0.03453795
Sales/total assets,0.53487184,0.76690121,0.70631208,0.81012977,0.75946359
Net income margin,-0.01725248,0.04327151,0.05535475,0.04853688,0.04547677
EBIT/Sale,0.10384933,0.1175962,0.12548159,0.12471808,0.11068767
EBITDA/Sale,0.14112594,0.15573506,0.16327038,0.16335556,0.14923987
EBITDA/ Assets,0.07548429,0.11943341,0.11531984,0.1323392,0.11334224
Total debt/ EBITDA,7.10100592,3.85296676,3.12551194,3.90901768,4.4959222
WC/ Asset,0.11635904,0.15823718,0.16355956,0.22337851,0.13065324
Price to book ratio,0.4921715,2.24209509,1.74540621,2.36431383,2.06774324
real GDP growth,0.04481405,0.04447221,0.03772504,0.02684285,0.04028831
Inflation,0.01552279,0.0233769,0.02931204,0.0280542,0.02607442
Unemployment,0.04508333,0.0495,0.05416667,0.05608333,0.06083333
10-year risk free,0.05264167,0.063525,0.06438334,0.0658,0.0708
YoY % in stock price,-0.56395349,-0.29508197,-0.37435897,0.43382353,0.1147541
market cap based on Jun's data,485.8172,1103.3585,1563.9485,2491.4175,1720.978
90-days stock vol,1.16521,0.52449,0.64616,0.58793,0.40733
Trading volume,1453.505156,3737.917975,3354.13685,5526.711938,3016.5208
Total asset,1581.244,1597.233,1439.613,1228.338,706.008
Diluted EPS,-1.57,-1.53,-1.02,-0.43,-0.175
Liability / assets,1.30918821,1.21157276,1.12654443,1.06576691,1.05652627
equity / assets,-0.30918821,-0.21157276,-0.12654443,-0.06576691,-0.05652627
Cash / asset,0.00194594,0.00183067,0.00262362,0.16134159,0.00347163
Current ratio,0.4612223,0.67586544,0.58763838,1.64914342,0.16276311
Inventory / sales,0.00609831,0.02509324,0.02773539,0.02180112,0.02028247
Net debt/EBITDA,5.44261862,5.73919238,5.66667186,4.73232868,3.58159746
A/P / Sales,0.0922328,0.04437156,0.07277562,0.10800871,0.05700819
A/R / Sales,0.08072449,0.06585804,0.07305769,0.06398389,0.04572132
ROE,0.33137316,0.46443505,0.5726362,0.54715043,0.45016037
ROA,-0.10245667,-0.09826181,-0.07246392,-0.0359844,-0.02544589
